key,cycle,card_id,title_zh,title_en,kind,auto_settle,grants,base,modifiers,manual,unresolved,warnings,confidence,notes
c1:6410,c1,6410,铁匠铺,SMITHY,resource-only,full,Armament ×1；Friendly+（+1 或更好） → Armament ×2,Armament×1,[Friendly+]Armament×2（替换）,,,,high,Text identical to the other Smithy copy; badge 'Friendly+' with trailing plus.
c1:6411,c1,6411,军需库,WEAPONS CACHE,resource-only,full,Armament ×2；Denounced-（-2 或更差） → Armament ×1,Armament×2,[Denounced-]Armament×1（替换）,,,,high,Badge 'Denounced-' with trailing hyphen; the second line is the replacement branch.
c1:6412,c1,6412,废弃神龛,ABANDONED SHRINE,resource-only,full,Monument ×1；Friendly+（+1 或更好） → Monument ×2,Monument×1,[Friendly+]Monument×2（替换）,,,,high,Title wraps over two printed lines; badge 'Friendly+' with trailing plus.
c1:6413,c1,6413,废弃神龛,ABANDONED SHRINE,resource-only,full,Monument ×1；Friendly+（+1 或更好） → Monument ×2,Monument×1,[Friendly+]Monument×2（替换）,,,,high,Corner disc reads 19; code AB0088. Thin divider separates the base grant from the Friendly+ replacement. Badge prints 'Friendly+' with the plus at the right edge.
c1:6414,c1,6414,神殿废墟,TEMPLE RUINS,resource-plus,partial,Monument ×2,Monument×2,,[Denounced-] Chosen Argonaut gains +1 Ψ.,,,high,"Corner disc reads 3; code AB0089. The glyph after '+1' is a solid Greek psi (Ψ), kept verbatim. Badge lozenge prints 'Denounced-' with a trailing hyphen."
c1:6415,c1,6415,神殿废墟,TEMPLE RUINS,resource-plus,partial,Monument ×2,Monument×2,,[Denounced-] Chosen Argonaut gains +1 Ψ.,,,high,Corner disc reads 9; code AB0090. Panel wording is identical to 6414; the stat glyph is again a solid Greek psi (Ψ). Badge 'Denounced-' with trailing hyphen.
c1:6416,c1,6416,泰坦,TITAN,none,none,,,,Gain +1 Titan. / [Friendly+] Chosen Argonaut gains +1 Ω.,,,high,"Corner disc reads 28; code AB0091. 'Gain +1 Titan.' is a track gain, not one of the Argo resources, so it sits in otherEffects. Stat glyph is Greek omega (Ω)."
c1:6417,c1,6417,废弃舰队,ABANDONED FLEET,resource-plus,partial,Trireme ×3,Trireme×3,,[Denounced-] Gain +1 ICON(black emblem: two triangles flanking a central downward teardrop).,,,medium,"Corner disc prints old-style 'IO' = 10; code AB0092. The Denounced grant is an icon-only symbol that matches none of the app's resource icons, so its resource name is unreadable."
c1:6418,c1,6418,旧兵工厂,OLD ARMORY,resource-only,full,Armament ×3；Allied（+2 或更好） → Armament ×4,Armament×3,[Allied]Armament×4（替换）,,,,high,Corner disc prints old-style 'II' = 11; code AB0093. Divider separates the base grant from the Allied 'instead' replacement; badge reads plain 'Allied' with no sign.
c1:6419,c1,6419,隐秘神殿,HIDDEN TEMPLE,resource-plus,partial,Monument ×3,Monument×3,,"[Denounced-] Gain +1 ICON(black triangle enclosing a white skull, small point beneath).",,,medium,"Corner disc reads 12; code AB0094. The Denounced grant is an icon-only symbol (triangle with skull) that matches none of the app's resource icons, so its name is unreadable."
c1:6420,c1,6420,废弃舰队,ABANDONED FLEET,resource-plus,partial,Trireme ×3,Trireme×3,,[At War] Lose -1 Titan.,,,high,"Badge lozenge reads 'At War'; the conditioned line loses a Titan instead of granting a resource. Disc 14, code AB0095."
c1:6421,c1,6421,亵渎神殿,DESECRATED TEMPLE,resource-plus,partial,Monument ×2,Monument×2,,[Denounced-] Gain +1 ICON(robed figure - Priest).,,,medium,"Second line prints a small robed-figure icon, not a word; read as the Priest resource icon (same glyph as c1:6419, whose sibling c1:6426 spells out 'gain +1 Priest')."
c1:6422,c1,6422,造船厂,SHIPYARD,resource-plus,partial,Trireme ×4,Trireme×4,,[Denounced-] Chosen Argonaut gains +1 A.,,,high,Badge 'Denounced-' with trailing hyphen; 'A.' is the printed Argonaut glyph. Divider is the base/conditioned separator.
c1:6423,c1,6423,造船厂,SHIPYARD,resource-plus,partial,Trireme ×4,Trireme×4,,[Denounced-] Chosen Argonaut gains +1 A.,,,high,"Text identical to the other Shipyard copy (c1:6422); badge 'Denounced-', disc 27, code AB0098."
c1:6424,c1,6424,军需库,WEAPONS CACHE,resource-plus,partial,Armament ×3,Armament×3,,[Denounced-] Chosen Argonaut gains +1 A.,,,high,"Badge 'Denounced-' with trailing hyphen; 'A.' is the printed Argonaut glyph. Code reads AB0099, disc 15."
c1:6425,c1,6425,亵渎神殿,DESECRATED TEMPLE,resource-plus,partial,Monument ×3,Monument×3,,[Denounced-] Gain +1 ICON(robed figure - Priest).,,,medium,"Second line prints the robed-figure (Priest) icon rather than a word; same glyph as c1:6421. Base amount 3, disc 18, code AB0100."
c1:6426,c1,6426,隐秘神殿,HIDDEN TEMPLE,resource-plus,partial,Monument ×4,Monument×4,,You may gain +3 ICON(inverted triangle - Despair token) to gain +1 Priest.,,,medium,"Glyph after +3 is the inverted-triangle Despair-token symbol (cf. c1:6417; Chinese c1:6401 glosses it 绝望指示物). +1 Priest is optional, gated on taking the 3 Despair."
c1:6427,c1,6427,埃及战争舰队,EGYPTIAN WAR FLEET,resource-plus,partial,Trireme ×5,Trireme×5,,[Allied] Lose -1 Titan.,,,medium,"Conditioned line ends in the dark Titan glyph (three-point/crown symbol), not a printed word; read as Titan. Disc 24, code AB0102."
c1:6428,c1,6428,埃及战争舰队,EGYPTIAN WAR FLEET,resource-plus,partial,Trireme ×6,Trireme×6,,[Allied] Lose -1 Titan.,,,medium,"Same text as c1:6427 with amount 6; 'Lose -1' followed by the Titan glyph. Disc 20, code AB0103."
c1:6429,c1,6429,旧兵工厂,OLD ARMORY,resource-plus,partial,Monument ×5,Monument×5,,[At War] Lose -1 ICON(disc-with-emblem glyph).,,,medium,"At War line ends in an unresolved glyph: solid black disc with a pale emblem (same glyph as c1:6401 Allied gain / At War loss), not the Titan glyph. Disc 25, code AB0104."
c1:6430,c1,6430,青铜人兵工厂,BRONZE PEOPLE ARMORY,resource-plus,partial,Armament ×5,Armament×5,,[Allied] Gain +1 ICON(open book with a flame above it) (once until the next Timeline Battle).,,,medium,"Unresolved glyph after 'Gain +1': an open book with a flame rising from it; the timing clause '(once until the next Timeline Battle)' follows it. Disc 21, code AB0105."
c1:6431,c1,6431,大型神殿废墟,GRAND TEMPLE RUINS,resource-plus,partial,Monument ×5,Monument×5,,[Allied] Gain +1 Titan.,,,medium,"Allied line ends in the dark Titan glyph (same three-point symbol as c1:6427). Titan is not one of the printed resource names, so it is kept in otherEffects. Disc 26, code AB0106."
c1:6433,c1,6433,未驯服的泰坦,UNTAMED TITAN,none,none,,,,Gain +1 Titan. / [Friendly+] Chosen Argonaut gains +1 Ω.,,,high,"Second line's glyph is a capital omega (Ω), identical to card AB0091 TITAN; transcribed as printed. No corner disc; code AB0108."
c1:6434,c1,6434,百臂陷阱,HEKATRAP,none,none,,,,"At the end of this Exploration Step, resolve an Ambush Battle (Cycle I Storybook, p. / [ICON(Titan symbol)/8+] At the start of this battle, Escalate 1.",,,medium,Badge is a two-cell lozenge: picture glyph (pale Titan symbol on dark) then '8+'. Italic 'Remove from the deck permanently.' (永久移出卡组) sits below the panel. No disc; AB0109.
c1:6435,c1,6435,线人网络,INFORMANT NETWORK,none,none,,,,Gain +1 ICON(black triangle with pale emblem). / Roll a d10. / [Allied] On 8+ gain +1 ICON(book with flame).,,,medium,"Panel text fully legible. Both grants print only symbols, no resource name; 2nd grant also needs a d10 roll of 8+. Removal line is printed below the panel."
c1:6436,c1,6436,咯咯笑,CACKLE,none,none,,,,[ICON(black hexagon with triangle-hook glyph)/8+] Resolve an additional Cackle.,,,medium,The resolved item is printed as a circular ring enclosing a dark beast emblem; card title and artwork (CACKLE) identify it as Cackle. Badge = hexagon symbol plus '8+'.
c1:6437,c1,6437,迷宫朝圣者,MAZE PILGRIM,none,none,,,,"Gain +1 ICON(hooded figure) (If on a ICON(labyrinth diamond) Map Tile: gain +2 ICON(hooded figure) instead). / If you then have 3+ ICON(hooded figure), see 0014 in the Fated Conundrum hub. / [ICON(black hexagon with triangle-hook glyph)/5+] Gain 1 additional ICON(hooded figure). / [ICON(black hexagon with triangle-hook glyph)/7+] Random Argonaut gains 1 Despair token.",,,medium,"Line 1 is one sentence printed on two rows; its 'instead' branch is conditioned by the Map Tile icon, not by a badge lozenge. Granted resource is a hooded-figure symbol only."
c1:6438,c1,6438,迷宫风暴,MAZE STORM,none,none,,,,Gain +1 ICON(black triangle with white skull). / [ICON(black hexagon with triangle-hook glyph)/7+] Gain +2 ICON(black triangle with white skull) instead.,,,medium,Divider inside the panel separates the base grant from the replacement. Grant is a symbol only (black triangle enclosing a white skull); no resource name printed.
c1:6439,c1,6439,招聘活动,RECRUITMENT DRIVE,none,none,,,,Gain +1 ICON(crossed oars). / [Allied] Lose -1 ICON(black triangle with white hook).,,,medium,Both quantities are printed as symbols: two crossed oar/weapon shapes (gain) and a black triangle enclosing a white hook (loss). Removal text below the panel reads 'permanently'.
c1:6440,c1,6440,迷宫之心,HEART OF THE MAZE,none,none,,,,"You're ambushed by the Temenos itself! / At the end of this Exploration Step, resolve a Temenos Battle (note Special Aftermath 0006). / [ICON(black hexagon with triangle-hook glyph)/8+] At the start of this battle, Escalate 1.",,,high,First entry is a single sentence printed across five rows. Badge is a hexagon symbol plus '8+'. No resource gains; removal text below the panel says permanently.
c1:8201,c1,8201,忒修斯的宝藏,THESEUS'S CACHE,resource-plus,partial,Trireme ×9；Monument ×6；Armament ×3,Trireme×9 / Monument×6 / Armament×3,,[Allied] Gain +1 ICON(book with flame).,,,medium,Secret card: black band at the very bottom reads 'EXPLORATION SECRET CARD 5'. Base resources are spelled out in words; the Allied bonus resource is a symbol only.
c1:13400,c1,13400,底比斯商人,THEBAN TRADER,none,none,,,,Trading: You may exchange (up to 5 times): / 3 Trireme » 1 Monument / 4 Trireme » 1 Armament / 1 Monument » 1 Trireme / 1 Armament » 2 Trireme / 1 Muscle Cluster or 1 Infused Mechanism » 2 Raw Ambrosia / 1 Calcified Knuckle Bone or 1 Fleshy Mantle » 3 Raw Ambrosia / 4 Raw Ambrosia » 1 Muscle Cluster or 1 Infused Mechanism / 5 Raw Ambrosia » 1 Calcified Knuckle Bone or 1 Fleshy Mantle / [Friendly+] 选择并获得1个商人提供的凡间或始祖资源。,,,high,"Card art printed sideways; read from a 90-degree rotation. Exchange lines kept whole in otherEffects, with only their right-hand gain in resourceGains. No corner disc; Remove line is Chinese only."
c2:13600,c2,13600,吞域兽恐惧储存层,TEMENOS FEAR AQUIFER,resource-plus,partial,Fear Essence ×2,Fear Essence×2,,[ICON(black hexagon with white glyph)/5+] Gain +2 A as a group.,,,medium,"Badge = dark lozenge with an unresolved white pictogram plus '5+' (digit pixel-verified: top bar, left stroke, bowl). Stat glyph after '+2' is a crossbar-less lambda, kept as A."
c2:13601,c2,13601,末世前的兵工厂,PRE-ESCHATON ARMORY,resource-only,full,War Machine ×2；Friendly+（+1 或更好） → War Machine ×3,War Machine×2,[Friendly+]War Machine×3（替换）,,,,high,Thin divider separates the base grant from the 'Friendly+' replacement branch; 'instead' flagged. Badge lozenge prints 'Friendly+' with the plus attached.
c2:13602,c2,13602,阿瑞斯神殿,TEMPLE OF ARES,resource-plus,partial,Relief ×2,Relief×2,,[ICON(black hexagon with white glyph)/5+] Gain +1 Ψ as a group.,,,medium,Badge = dark lozenge with an unresolved white pictogram plus '5+' (digit pixel-verified). Stat glyph after '+1' is a solid Greek psi (Ψ).
c2:13603,c2,13603,吞域兽竖矿井,TEMENOS MINESHAFT,resource-plus,partial,Maze Fragment ×1；卡面图标条件（ICON(black hexagon with white glyph)/5+），需要人工确认 → Maze Fragment ×2,Maze Fragment×1,[ICON(black hexagon with white glyph)/5+]Maze Fragment×2（替换）,,,条件为图标，需人工确认：Gain 2 Maze Fragment resources instead. [ICON(black hexagon with white glyph)/5+],medium,Divider separates the base grant from the badge-conditioned 'instead' branch. Badge = dark lozenge with unresolved white pictogram plus '5+' (pixel-verified).
c2:13604,c2,13604,武器工坊,WEAPONS WORKSHOP,resource-only,full,War Machine ×1；Friendly+（+1 或更好） → War Machine ×2,War Machine×1,[Friendly+]War Machine×2（替换）,,,,high,"Divider separates base grant from the 'Friendly+' replacement; 'instead' flagged. Corner disc reads 5, code BB1215."
c2:13605,c2,13605,阿瑞斯神龛,SHRINE TO ARES,resource-only,full,Relief ×1；Friendly+（+1 或更好） → Relief ×2,Relief×1,[Friendly+]Relief×2（替换）,,,,high,Badge 'Friendly+' with trailing plus; divider separates the base grant from the replacement branch.
c2:13606,c2,13606,吞域兽矿藏,TEMENOS PIT,resource-plus,partial,Maze Fragment ×2,Maze Fragment×2,,[ICON(black hexagon with white glyph)/4+] Gain +1 A as a group.,,,medium,"Badge = dark lozenge with unresolved white pictogram plus '4+' (digit pixel-verified: diagonal, crossbar, stem). Stat glyph after '+1' is crossbar-less lambda, kept as A."
c2:13607,c2,13607,吞域兽竖矿井,Temenos Mineshaft,resource-plus,partial,Maze Fragment ×1；卡面图标条件（ICON(figure)/5+），需要人工确认 → Maze Fragment ×2,Maze Fragment×1,[ICON(figure)/5+]Maze Fragment×2（替换）,,,条件为图标，需人工确认：Gain 2 Maze Fragment resources instead. [ICON(figure)/5+],high,"Badge is two dark lozenges joined by a slash: white human-figure pictogram + '5+'. Chinese title glyphs tiny, best-effort reading."
c2:13608,c2,13608,阿瑞斯神殿,Temple of Ares,resource-plus,partial,Relief ×2,Relief×2,,[ICON(figure)/5+] Gain +1 Ψ as a group.,,,high,Badge = figure pictogram + '5+' lozenge. Second line symbol is a bold Ψ-like glyph (read as Ψ).
c2:13609,c2,13609,斯巴达残骸,Spartan Wreckage,resource-plus,partial,War Trireme ×4,War Trireme×4,,[ICON(figure)/3+] Gain +1 A as a group.,,,high,Badge = figure pictogram + '3+' lozenge. Corner disc shows 'IO' = 10 in the card's numeral font; bold 'A' glyph in second line.
c2:13610,c2,13610,代达罗斯实验室,Daedalus Laboratory,resource-only,full,War Machine ×3；Allied（+2 或更好） → War Machine ×4,War Machine×3,[Allied]War Machine×4（替换）,,,,high,Badge word clearly 'Allied' in white on dark lozenge. Corner disc 'II' = 11 in the card's numeral font.
c2:13611,c2,13611,独眼巨人的许珀里翁神殿,Cyclopean Temple of Hyperion,resource-plus,partial,Relief ×3,Relief×3,,[ICON(figure)/6+] 获得1个独眼巨人牙齿稀有资源。,,,medium,Second line is printed in Chinese (Gain 1 Cyclops Tooth rare resource); resource name given in English. Badge numeral read as '6+'. Corner 'I2' = 12.
c2:13612,c2,13612,吞域兽恐惧储存层,Temenos Fear Aquifer,resource-plus,partial,Fear Essence ×2,Fear Essence×2,,[ICON(figure)/5+] Gain +2 A as a group.,,,high,"Badge = figure pictogram + '5+' lozenge. Bold 'A' glyph in second line. Chinese title glyphs small, best-effort reading."
c2:13613,c2,13613,帕里罗亚战船,Palirroia Trireme,resource-plus,partial,War Trireme ×3,War Trireme×3,,[ICON(figure)/4+] Lose -1 Titan.,,,high,Badge = figure pictogram + '4+' lozenge. Corner 'I4' = 14 in the card's numeral font.
c2:13614,c2,13614,代达罗斯实验室,Daedalus Laboratory,resource-plus,partial,War Machine ×3,War Machine×3,,[ICON(figure)/3+] Gain +1 A as a group.,,,high,"Badge = two dark lozenges: white figure pictogram + '3+'. Bold italic 'A' glyph in the group line. Code BB1233, disc 15."
c2:13615,c2,13615,独眼巨人的伊阿珀托斯神殿,Cyclopean Temple of Iapetus,resource-plus,partial,Relief ×4,Relief×4,,[ICON(figure)/Allied] Gain +1 ICON(book-with-flame glyph) (once until the next Timeline Battle).,,,medium,"Badge = figure-pictogram lozenge joined to an 'Allied' lozenge. Glyph after '+1' unresolved: small dark shape with a pale flame, resembling c1:6430's book-with-flame icon. Disc 16, BB1232."
c2:13616,c2,13616,斯巴达战船,Spartan Trireme,resource-plus,partial,War Trireme ×5,War Trireme×5,,[Allied] Lose -1 Titan.,,,high,"'Lose -1' ends in the dark Titan glyph (solid shape with a pale V-notch), read as Titan per the c1/c2 convention. Badge word 'Allied'. Code BB1238, disc 17."
c2:13617,c2,13617,独眼巨人的盖亚神殿,Cyclopean Temple of Gaia,resource-plus,partial,Relief ×5,Relief×5,,[ICON(figure)/7+] Lose -3 Titan.,,,high,"Badge = figure pictogram + '7+' lozenge (numeral small, read as 7). 'Lose -3' ends in the dark Titan glyph. Code BB1235, disc 18."
c2:13618,c2,13618,阿瑞斯神龛,Shrine to Ares,resource-only,full,Relief ×1；Friendly+（+1 或更好） → Relief ×2,Relief×1,[Friendly+]Relief×2（替换）,,,,high,"Badge prints 'Friendly+' with a trailing plus; thin divider separates the base grant from the replacement branch. Code BB1218, disc 19."
c2:13619,c2,13619,马拉松级战船,Marathonian-Class Trireme,resource-plus,partial,War Trireme ×6,War Trireme×6,,[ICON(figure)/6+] Gain +1 A as a group.,,,high,"Badge = figure pictogram + '6+' lozenge. Chinese title last glyph read as 船 (matches the deck's 战船 wording). Bold 'A' glyph. Code BB1234, disc 20."
c2:13620,c2,13620,青铜人铸造厂,Bronze People Foundry,resource-only,full,War Machine ×5；Allied（+2 或更好） → War Machine ×6,War Machine×5,[Allied]War Machine×6（替换）,,,,high,"Badge word clearly 'Allied'; thin divider separates the base grant from the 'instead' branch. Code BB1237, disc 21."
c2:13621,c2,13621,独眼巨人的许珀里翁神龛,Cyclopean Shrine of Hyperion,resource-plus,partial,Relief ×2；卡面图标条件（ICON(figure)/5+），需要人工确认 → Relief ×3,Relief×2,[ICON(figure)/5+]Relief×3（替换）,,,条件为图标，需人工确认：Gain 3 Relief resources instead. [ICON(figure)/5+],high,Dark lozenge holds a tiny pale figure pictograph plus the readable text '5+'; amounts 2/3 and the divider are clear.
c2:13622,c2,13622,吞域兽恐惧之源,Temenos Fear Spring,resource-plus,partial,Fear Essence ×1,Fear Essence×1,,[ICON(figure)/4+] Gain +1 A as a group.,,,high,Base line prints singular 'resource' as on the card. Bold stat glyph read as 'A' (could be lambda). Badge lozenge: tiny pale figure icon + '4+'.
c2:13623,c2,13623,独眼巨人的盖亚神殿,Cyclopean Temple of Gaia,resource-plus,partial,Relief ×5,Relief×5,,[ICON(figure)/Allied] Gain +1 ICON(large dark inverted-triangle glyph with pale inner marks).,,,medium,Trailing icon after '+1' (~30x26 px) not identified; OCR reads it as '&'/'ch'. Badge: small pale emblem lozenge + '/Allied'.
c2:13624,c2,13624,独眼巨人的伊阿珀托斯神龛,Cyclopean Shrine of Iapetus,resource-plus,partial,Relief ×3,Relief×3,,[ICON(figure)/4+] Lose -1 Titan.,,,high,"Conditioned line carries a resource loss, not a grant. Badge lozenge: tiny pale figure pictograph plus '4+'."
c2:13625,c2,13625,斯巴达残骸,Spartan Wreckage,resource-plus,partial,War Trireme ×4,War Trireme×4,,[ICON(figure)/3+] Lose -1 Titan.,,,high,Amount 4 and 'Lose -1 Titan.' fully legible; badge lozenge holds a tiny pale figure pictograph plus '3+'.
c2:13626,c2,13626,白色战船,White Trireme,resource-plus,partial,War Trireme ×2；卡面图标条件（ICON(figure)/5+），需要人工确认 → War Trireme ×3,War Trireme×2,[ICON(figure)/5+]War Trireme×3（替换）,,,条件为图标，需人工确认：Gain 3 War Trireme resources instead. [ICON(figure)/5+],high,Divider separates base grant from the instead branch; badge lozenge: tiny pale figure pictograph plus '5+'.
c2:13627,c2,13627,帕里罗亚战船,Palirroia Trireme,resource-plus,partial,War Trireme ×3；卡面图标条件（ICON(figure)/5+），需要人工确认 → War Trireme ×4,War Trireme×3,[ICON(figure)/5+]War Trireme×4（替换）,,,条件为图标，需人工确认：Gain 4 War Trireme resources instead. [ICON(figure)/5+],high,"Amounts 3 and 4 clear, 'instead' branch on the conditioned line; badge lozenge: tiny pale figure pictograph plus '5+'."
c2:13628,c2,13628,泰坦,Titan,none,none,,,,Gain +1 Titan. / [Friendly+] Gain +1 Ω as a group.,,,high,"Header prints TITAN. Titan and Ω gains kept as non-resource effects (no resource token named). Thin divider separates the base line from the Friendly+ line. Disc 31, code BB1221."
c2:13629,c2,13629,未驯服的泰坦,Untamed Titan,none,none,,,,Gain +1 Titan. / [Friendly+] Gain +1 Ω as a group.,,,high,"Header prints UNTAMED TITAN; panel wording identical to c2:13628. Divider above the Friendly+ line. Disc 32, code BB1222."
c2:13630,c2,13630,阿尔戈号引擎,Argo Engines,none,none,,,,"If you have 2+ ICON(small dark human figure), lose -1 ICON(solid black disc). / If this ability didn't trigger, gain +1 ICON(small dark human figure).",,,medium,"SABOTAGE: prefix above title, Chinese title below it. Panel letters clear, but the ~15px pictograms (dark figure, solid black disc) are unresolved. Disc 33, code BB1244."
c2:13631,c2,13631,山门,Propylon,none,none,,,,"如果你们有 1+ICON(small dark human figure)，随机选择你们的一个阿尔戈技能(AA)科技。 / 它被禁用！ / 在时间表当前10天后记下它的名称，作为事件。 / 在那一天的发展步骤，它被修复可用。 / If this ability didn't trigger, gain +1 ICON(small dark human figure).",,,medium,"SABOTAGE: prefix above title, Chinese title 山门 below it. Chinese panel read sentence by sentence; the 1+ check pictogram is an unresolved small dark figure. Disc 34, code BB1245."
c2:13632,c2,13632,三幅节系统,Triskelion System,none,none,,,,"If you have 1+ ICON(small dark human figure), lose -1 Titan. / If this ability didn't trigger, gain +1 ICON(small dark human figure).",,,high,"SABOTAGE: prefix above title, Chinese title below it. The loss is spelled out ('Titan'); only the small check pictogram (dark figure) is unresolved. Disc 35, code BB1246."
c2:13633,c2,13633,泰坦兵工厂,Titan Armory,none,none,,,,"If you have 2+ ICON(small dark human figure), permanently lose a random ICON(small dark emblem) card from the Argo Armory. / If this ability didn't trigger, gain +1 ICON(small dark human figure).",,,medium,"SABOTAGE: prefix above title, Chinese title below it. Icon before 'card from the Argo Armory' is an unresolved small dark emblem. Disc 36, code BB1247."
c2:13634,c2,13634,克里普提 暗杀行动,Krypteia Assassination Attempt,none,none,,,,如果你们有 1+ICON(small dark human figure)，随机选择一名阿尔戈英雄获得本卡。 / 战斗期间：每当你掷出关键失手时，一名克里普提暗杀者攻击了同步浸池。 / 检定力量Fury(8+)。 / 失败：你的阿尔戈英雄死亡。 / 将本卡永久移出游戏并结算Rude Awakening特殊事件。 / [ICON(pale Ψ-glyph in dark pentagon) 8+ or ICON(pale figure in dark pentagon) 4+] Lose -1 ICON(dark crossed-blades glyph).,,,medium,"SABOTAGE: prefix above title; Chinese title printed as two blocks (克里普提 / 暗杀行动). Panel read fully; the 'Lose -1' pictogram (dark crossed blades) unresolved. Disc 37, code BB1248."
c2:13635,c2,13635,神浆泄漏,Ambrosia Spill,none,none,,,,根据你们的不稳定神浆资源数： / 0-15： 神浆团只是微微晃荡。 / 16-25： 神浆团四处乱窜，杀死了几名你的船员！ / 失去 -1 ICON(黑色交叉状图标)。 / 26+： 神浆团愤怒地攻击船体！ / 失去 -1 ICON(深色团块状图标) 并将你们的不稳定神浆资源数减半。 / [ICON(深色五边形内白色Ψ状符号) 8+ or ICON(深色五边形内白色动物剪影) 6+] ICON(深色五边形内白色Ψ状符号) 8+ or ICON(深色五边形内白色动物剪影) 6+ Gain +1 ICON(三角形轮廓内的小符号)。,,,medium,"Rules panel printed in Chinese, read clearly. The two loss glyphs and the 'Gain +1' resource glyph are ~20px icons that I could not resolve to letters."
